No,Sektor,Isim,Rol,Sirket,Ulke,Yanit Olasiligi,LinkedIn,Sirket Web,Kaynak
14,Banking,Tony Cripps,Managing Director and CEO,Saudi Awwal Bank (SABB),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Tony%20Cripps%20Saudi%20Awwal%20Bank,https://www.sab.com,https://www.sab.com/en/about-us/about-us/executive-top-management/
15,Banking,Lama Ghazzaoui,CFO,Saudi Awwal Bank (SABB),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Lama%20Ghazzaoui%20Saudi%20Awwal%20Bank,https://www.sab.com,https://www.sab.com/en/about-us/about-us/executive-top-management/
16,Banking,Mazin Abdulrazzak AlRomaih,Chairman,Banque Saudi Fransi,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Mazin%20AlRomaih%20Banque%20Saudi%20Fransi,https://bsf.sa,https://bsf.sa/english/the-bank/boardofdirectors
17,Banking,Bader Hamad Al-Salloom,CEO,Banque Saudi Fransi,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Bader%20Al-Salloom%20Banque%20Saudi%20Fransi,https://bsf.sa,https://bsf.sa/english/the-bank/managament-team
18,Banking,Ramzy Darwish,CFO,Banque Saudi Fransi,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ramzy%20Darwish%20Banque%20Saudi%20Fransi,https://bsf.sa,https://bsf.sa/english/the-bank/managament-team
19,Banking,Obaid Abdullah Al-Rasheed,CEO and Managing Director,Arab National Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Obaid%20Al-Rasheed%20Arab%20National%20Bank,https://anb.com.sa,https://anb.com.sa/web/anb/executive-management
20,Banking,Saad Al-Dugaish,CFO,Arab National Bank,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saad%20Al-Dugaish%20Arab%20National%20Bank,https://anb.com.sa,https://anb.com.sa/web/anb/executive-management
21,Banking,Nasser bin Mohammed Al-Subaie,Chairman,Bank Albilad,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Nasser%20Al-Subaie%20Bank%20Albilad,https://www.bankalbilad.com.sa,https://www.bankalbilad.com.sa/en/about/Pages/board-of-directors.aspx
22,Banking,Bashaar Yahya Al Qunaibit,CEO,Bank Albilad,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Bashaar%20Al%20Qunaibit%20Bank%20Albilad,https://www.bankalbilad.com.sa,https://www.bankalbilad.com.sa/en/about/pages/executive-management.aspx
23,Banking,Mishal Fahad Alshorihy,EVP Finance (CFO),Bank Albilad,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mishal%20Alshorihy%20Bank%20Albilad,https://www.bankalbilad.com.sa,https://www.bankalbilad.com.sa/en/about/pages/executive-management.aspx
24,Health Insurance,Loay Hisham Nazer,Chairman,Bupa Arabia,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Loay%20Nazer%20Bupa%20Arabia,https://www.bupa.com.sa,https://www.nazer.com/leadership
25,Health Insurance,Tal Hisham Nazer,CEO and Managing Director,Bupa Arabia,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Tal%20Nazer%20Bupa%20Arabia,https://www.bupa.com.sa,https://www.nazer.com/leadership_info/2
26,Health Insurance,Nader Ashoor,Deputy CEO and CFO,Bupa Arabia,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Nader%20Ashoor%20Bupa%20Arabia,https://www.bupa.com.sa,https://annualreport.plus/bupa2022/en/annual-report/governance_and_risk_management_report/our_chief_executive_team.html
27,Financial Markets,Mazen Abdulrazzaq Al Romaih,Chairman,Saudi Tadawul Group,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Mazen%20Al%20Romaih%20Saudi%20Tadawul%20Group,https://www.tadawulgroup.sa,https://www.zawya.com/en/capital-markets/equities/saudi-tadawul-group-names-chairman-vice-chairman-j8k2xvme
28,Financial Markets,Khalid Abdullah Al-Hussan,Group CEO,Saudi Tadawul Group,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Khalid%20Al-Hussan%20Saudi%20Tadawul%20Group,https://www.tadawulgroup.sa,https://www.tadawulgroup.sa/wps/portal/tadawulgroup/aboutus/team
29,Financial Markets,Shahrukh Qureshi,CFO,Saudi Tadawul Group,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Shahrukh%20Qureshi%20Saudi%20Tadawul%20Group,https://www.tadawulgroup.sa,https://www.tadawulgroup.sa/wps/portal/tadawulgroup/aboutus/team
30,Energy / Oil & Gas,Yasir Al-Rumayyan,Chairman,Saudi Aramco,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Yasir%20Al-Rumayyan%20Saudi%20Aramco,https://www.aramco.com,https://www.aramco.com/en/about-us/our-leadership/board-of-directors
31,Energy / Oil & Gas,Amin H. Nasser,President & CEO,Saudi Aramco,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Amin%20Nasser%20Saudi%20Aramco,https://www.aramco.com,https://www.aramco.com/en/about-us/our-leadership
32,Energy / Oil & Gas,Ziad T. Al-Murshed,EVP & CFO,Saudi Aramco,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ziad%20Al-Murshed%20Saudi%20Aramco,https://www.aramco.com,https://www.aramco.com/en/about-us/our-leadership/ziad-al-murshed
33,Petrochemicals,Khalid Al-Dabbagh,Chairman,SABIC,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Khalid%20Al-Dabbagh%20SABIC,https://www.sabic.com,https://www.sabic.com/en/about/corporate-profile/board-of-directors-and-executive-management
34,Petrochemicals,Abdulrahman Al-Fageeh,CEO,SABIC,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulrahman%20Al-Fageeh%20SABIC,https://www.sabic.com,https://www.sabic.com/en/about/corporate-profile/board-of-directors-executive-management/abdulrahman-al-fageeh
35,Petrochemicals,Tim Stonesifer,CFO,SABIC,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Tim%20Stonesifer%20SABIC,https://www.sabic.com,https://www.sabic.com/en/about/corporate-profile/board-of-directors-and-executive-management
36,Mining & Metals,Bob Wilt,CEO,Ma'aden,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Bob%20Wilt%20Maaden,https://www.maaden.com,https://www.maaden.com/discover-us/leadership
37,Mining & Metals,Gilberto Antoniazzi,EVP & CFO,Ma'aden,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Gilberto%20Antoniazzi%20Maaden,https://www.maaden.com,https://www.maaden.com/discover-us/leadership
38,Utilities,Najm bin Abdullah Al-Zaid,Chairman,Saudi Electricity Company,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Najm%20Al-Zaid%20Saudi%20Electricity,https://www.se.com.sa,https://www.se.com.sa/en/Whoweare/Column3/About-Company/Board-of-Directors/
39,Utilities,Khalid bin Salem AlGhamdi,CEO,Saudi Electricity Company,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Khalid%20AlGhamdi%20Saudi%20Electricity,https://www.se.com.sa,https://www.se.com.sa/en/Whoweare/Column3/About-Company/Executive-Management/
40,Utilities,Abdulaziz AlMuhaiza,EVP & CFO,Saudi Electricity Company,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulaziz%20AlMuhaiza%20Saudi%20Electricity,https://www.se.com.sa,https://www.se.com.sa/en/Whoweare/Column3/About-Company/Executive-Management/
41,Utilities,Mohammad Abunayyan,Chairman,ACWA Power,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Mohammad%20Abunayyan%20ACWA%20Power,https://acwapower.com,https://acwapower.com/en/about-us/management-team/
42,Utilities,Samir J. Serhan,CEO,ACWA Power,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Samir%20Serhan%20ACWA%20Power,https://acwapower.com,https://acwapower.com/en/media-center/latest-news/acwa-board-of-directors-names-dr-samir-j-serhan-chief-executive-officer/
43,Utilities,Abdulhameed Al-Muhaidib,CFO,ACWA Power,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulhameed%20Al-Muhaidib%20ACWA%20Power,https://acwapower.com,https://acwapower.com/en/about-us/management-team/
44,Refining & Petrochemicals,Ibrahim Q. Al-Buainain,Chairman,Petro Rabigh,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Ibrahim%20Al-Buainain%20Petro%20Rabigh,https://www.petrorabigh.com,https://www.arabnews.com/node/1962981/business-economy
45,Refining & Petrochemicals,Othman Ali Al-Ghamdi,President & CEO,Petro Rabigh,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Othman%20Al-Ghamdi%20Petro%20Rabigh,https://www.petrorabigh.com,https://www.petrorabigh.com
46,Petrochemicals,Faisal Suwailem,Chairman,Yansab,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Faisal%20Suwailem%20Yansab,https://www.yansab.com.sa,https://www.yansab.com.sa/en/our-company/board-of-directors
47,Petrochemicals,Wazen Al-Solami,President & CEO,Yansab,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Wazen%20Al-Solami%20Yansab,https://www.yansab.com.sa,https://www.yansab.com.sa/en/our-company/board-of-directors
48,Petrochemicals,Abdullah AlGarni,Chairman,Saudi Kayan,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20AlGarni%20Saudi%20Kayan,https://www.saudikayan.com,https://www.saudikayan.com/en/our-company/executive-team
49,Petrochemicals,Sameeh bin Sulaiman Al-Sahafi,President & CEO,Saudi Kayan,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Sameeh%20Al-Sahafi%20Saudi%20Kayan,https://www.saudikayan.com,https://www.saudikayan.com/en/our-company/executive-team
50,Petrochemicals,Khalifa A. Al-Mulhem,Chairman,Advanced Petrochemical,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Khalifa%20Al-Mulhem%20Advanced%20Petrochemical,https://advancedpetrochem.com,https://advancedpetrochem.com/about/
51,Petrochemicals,Mamdouh H. Al-Amri,President & CEO,Advanced Petrochemical,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mamdouh%20Al-Amri%20Advanced%20Petrochemical,https://advancedpetrochem.com,https://advancedpetrochem.com/about/
52,Fertilizers,Fahad M. Al-Battar,CEO,SABIC Agri-Nutrients,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fahad%20Al-Battar%20SABIC%20Agri-Nutrients,https://www.sabic-agrinutrients.com,https://www.argaam.com/en/article/articledetail/id/1712745
53,Telecom,HRH Prince Mohammed bin Khalid Al-Faisal,Chairman,stc (Saudi Telecom),Suudi Arabistan,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Mohammed%20Al-Faisal%20stc,https://www.stc.com,https://www.stc.com/content/stcgroupwebsite/sa/en/investors/governance/board-of-directors.html
54,Telecom,Olayan bin Mohammed Alwetaid,Group CEO,stc (Saudi Telecom),Suudi Arabistan,Yüksek (profesyonel),https://sa.linkedin.com/in/olayan-alwetaid-2a4a163,https://www.stc.com,https://www.stc.com/content/stcgroupwebsite/sa/en/who-we-are/board-of-directors-and-executive-management.html
55,Telecom,Ameen Fahad Alshiddi,Group CFO,stc (Saudi Telecom),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ameen%20Alshiddi%20stc,https://www.stc.com,https://www.stc.com/content/stcgroupwebsite/sa/en/who-we-are/board-of-directors-and-executive-management.html
56,Telecom,Suliman Abdulaziz Al Gwaiz,Chairman,Mobily (Etihad Etisalat),Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Suliman%20Al%20Gwaiz%20Mobily,https://www.mobily.com.sa,https://www.mobily.com.sa/en/about-us/board-members
57,Telecom,Nezar Banabeela,CEO,Mobily (Etihad Etisalat),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Nezar%20Banabeela%20Mobily,https://www.mobily.com.sa,https://www.tadawulgroup.sa
58,Telecom,Abdullah bin Fahad Al-Fares,Chairman,Zain KSA,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdullah%20Al-Fares%20Zain%20KSA,https://sa.zain.com,https://sa.zain.com/en/investors/leadership-team
59,Telecom,Saad bin Abdulrahman AlSadhan,CEO,Zain KSA,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Saad%20AlSadhan%20Zain%20KSA,https://sa.zain.com,https://sa.zain.com/en/all-news/zain-ksa-appoints-eng-saad-bin-abdulrahman-alsadhan-chief-executive-officer
60,Food & Beverage,Fawaz Aljasser,CEO,Almarai,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Fawaz%20Aljasser%20Almarai,https://www.almarai.com,https://www.almarai.com/en/corporate/about-almarai/senior-management
61,Food & Beverage,Danko Maras,CFO,Almarai,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Danko%20Maras%20Almarai,https://www.almarai.com,https://annualreport.almarai.com/governance/executive-management/
62,Food & Beverage,Sameh Mahmoud Hassan,Group CEO,Savola Group,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Sameh%20Hassan%20Savola,https://www.savola.com,https://www.savola.com/en/about-us/leadership-team
63,Food & Beverage,Wajid Usman Khan,CFO,Savola Group,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Wajid%20Usman%20Khan%20Savola,https://www.savola.com,https://www.savola.com/en/about-us/leadership-team
64,Retail,Muhammad bin Abdulrahman Al-Agil,Chairman,Jarir Marketing,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Muhammad%20Al-Agil%20Jarir,https://www.jarir.com,https://www.jarir.com/sa-en/about-jarir/board-of-directors
65,Retail,Abdulkarim bin Abdulrahman Al-Agil,CEO & Vice Chairman,Jarir Marketing,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Abdulkarim%20Al-Agil%20Jarir,https://www.jarir.com,https://www.jarir.com/sa-en/about-jarir/board-of-directors
66,Retail,Muaffag Abdullah Mubarah,CEO,Abdullah Al Othaim Markets,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Muaffag%20Mubarah%20Al%20Othaim,https://www.othaimmarkets.com,https://www.marketscreener.com/quote/stock/ABDULLAH-AL-OTHAIM-MARKET-6500858/company-governance/
67,Healthcare,Saleh Salem Bin Mahfouz,Chairman,Nahdi Medical,Suudi Arabistan,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Saleh%20Bin%20Mahfouz%20Nahdi,https://nahdi.sa,https://investors.nahdi.sa/en/governance/
68,Healthcare,Yasser Joharji,CEO,Nahdi Medical,Suudi Arabistan,Yüksek (profesyonel),https://sa.linkedin.com/in/yasser-joharji-59b20b15,https://nahdi.sa,https://nahdi.sa/about-nahdi/executive-team/
69,Healthcare,Mohammed Al-Khubani,CFO,Nahdi Medical,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mohammed%20Al-Khubani%20Nahdi,https://nahdi.sa,https://investors.nahdi.sa/en/governance/
70,Healthcare,Faisal Abdullah Al Nassar,Group CEO & CFO,Dr Sulaiman Al Habib (HMG),Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Faisal%20Al%20Nassar%20Al%20Habib%20Medical,https://hmg.com,https://www.argaam.com/en/article/articledetail/id/1675221
71,Food & Beverage,Patrick Othmar Stillhart,CEO,SADAFCO,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Patrick%20Stillhart%20SADAFCO,https://www.sadafco.com,https://www.sadafco.com/about-us/the-board/
72,Food & Beverage,Glen Kelly,CFO,SADAFCO,Suudi Arabistan,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Glen%20Kelly%20SADAFCO,https://www.sadafco.com,https://www.sadafco.com/about-us/the-board/
73,Banking,Sheikh Tahnoon bin Zayed Al Nahyan,Chairman,First Abu Dhabi Bank (FAB),BAE,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Tahnoon%20bin%20Zayed%20Al%20Nahyan%20First%20Abu%20Dhabi%20Bank,https://www.bankfab.com,https://www.bankfab.com/en-ae/about-fab/group/board-of-directors
74,Banking,Hana Al Rostamani,Group CEO,First Abu Dhabi Bank (FAB),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Hana%20Al%20Rostamani%20First%20Abu%20Dhabi%20Bank,https://www.bankfab.com,https://www.bankfab.com/en-ae/about-fab/group/senior-management
75,Banking,Lars Kramer,Group CFO,First Abu Dhabi Bank (FAB),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Lars%20Kramer%20First%20Abu%20Dhabi%20Bank,https://www.bankfab.com,https://www.bankfab.com/en-ae/about-fab/group/senior-management
76,Banking,Sheikh Ahmed bin Saeed Al Maktoum,Chairman,Emirates NBD,BAE,Düşük (royal/sahip),https://www.linkedin.com/search/results/people/?keywords=Ahmed%20bin%20Saeed%20Al%20Maktoum%20Emirates%20NBD,https://www.emiratesnbd.com,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/board-of-directors
77,Banking,Shayne Nelson,Group CEO,Emirates NBD,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Shayne%20Nelson%20Emirates%20NBD,https://www.emiratesnbd.com,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team/shaynenelson
78,Banking,Patrick Sullivan,Group CFO,Emirates NBD,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Patrick%20Sullivan%20Emirates%20NBD,https://www.emiratesnbd.com,https://www.emiratesnbd.com/en/about-emirates-nbd/corporate-governance/management-team
79,Banking,Khaldoon Khalifa Al Mubarak,Chairman,Abu Dhabi Commercial Bank (ADCB),BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Khaldoon%20Al%20Mubarak%20ADCB,https://www.adcb.com,https://www.adcb.com/en/about-us/corporate-governance/executive-management/
80,Banking,Ala'a Eraiqat,Group CEO,Abu Dhabi Commercial Bank (ADCB),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Alaa%20Eraiqat%20ADCB,https://www.adcb.com,https://www.adcb.com/en/about-us/corporate-governance/executive-management/
81,Banking,Deepak Khullar,Group CFO,Abu Dhabi Commercial Bank (ADCB),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Deepak%20Khullar%20ADCB,https://www.adcb.com,https://www.adcb.com/en/about-us/corporate-governance/executive-management/
82,Islamic Banking,Mohammed Ibrahim Al Shaibani,Chairman,Dubai Islamic Bank,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Mohammed%20Al%20Shaibani%20Dubai%20Islamic%20Bank,https://www.dib.ae,https://www.dib.ae/about-us/leadership-team/board-of-directors
83,Islamic Banking,Dr. Adnan Chilwan,Group CEO,Dubai Islamic Bank,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Adnan%20Chilwan%20Dubai%20Islamic%20Bank,https://www.dib.ae,https://www.dib.ae/about-us/gceo
84,Islamic Banking,John Macedo,Group CFO,Dubai Islamic Bank,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=John%20Macedo%20Dubai%20Islamic%20Bank,https://www.dib.ae,https://www.dib.ae/about-us/leadership-team/executive-management
85,Islamic Banking,Jawaan Awaidha Al Khaili,Chairman,Abu Dhabi Islamic Bank (ADIB),BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Jawaan%20Al%20Khaili%20ADIB,https://www.adib.ae,https://www.adib.ae/en/about/our-leadership
86,Islamic Banking,Mohamed Abdelbary,Group CEO,Abu Dhabi Islamic Bank (ADIB),BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Mohamed%20Abdelbary%20ADIB,https://www.adib.ae,https://www.adib.ae/en/news/2024/oct/adib-appoints-mohamed-abdelbary--as-group-chief
87,Banking,Abdulaziz Al Ghurair,Chairman,Mashreq Bank,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Abdulaziz%20Al%20Ghurair%20Mashreq,https://www.mashreq.com,https://www.mashreqbank.com/uae/en/about-us/company-information/corporate-governance/mgmntteam
88,Banking,Ahmed Abdelaal,Group CEO,Mashreq Bank,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Ahmed%20Abdelaal%20Mashreq,https://www.mashreq.com,https://www.mashreq.com/en/uae/about-us/our-company/corporate-governance/management-team/ahmed-abdelaal-ceo/
89,Banking,Norman Tambach,Group CFO,Mashreq Bank,BAE,Yüksek (profesyonel),https://ae.linkedin.com/in/normantambach,https://www.mashreq.com,https://www.mashreq.com/en/uae/about-us/our-company/corporate-governance/management-team/
90,Islamic Banking,Hesham Abdulla Al Qassim,Chairman,Emirates Islamic,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Hesham%20Al%20Qassim%20Emirates%20Islamic,https://www.emiratesislamic.ae,https://www.emiratesislamic.ae/en/about-us/board-members-management-team
91,Islamic Banking,Farid AlMulla,CEO,Emirates Islamic,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Farid%20AlMulla%20Emirates%20Islamic,https://www.emiratesislamic.ae,https://www.emiratesislamic.ae/en/about-us/board-members-management-team
92,Banking,Ahmad Abdulkarim Julfar,Chairman,Commercial Bank of Dubai,BAE,Orta (başkan),https://www.linkedin.com/search/results/people/?keywords=Ahmad%20Julfar%20Commercial%20Bank%20of%20Dubai,https://www.cbd.ae,https://www.cbd.ae/aboutus/corporate-governance/cbd-board-of-directors
93,Banking,Bernd van Linder,CEO,Commercial Bank of Dubai,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Bernd%20van%20Linder%20Commercial%20Bank%20of%20Dubai,https://www.cbd.ae,https://www.cbd.ae/aboutus/about-cbd/cbd-management-team
94,Banking,Darren Clarke,CFO,Commercial Bank of Dubai,BAE,Yüksek (profesyonel),https://www.linkedin.com/search/results/people/?keywords=Darren%20Clarke%20Commercial%20Bank%20of%20Dubai,https://www.cbd.ae,https://www.cbd.ae/aboutus/about-cbd/corporate-governance/cbd-management-team/mr-darren-clarke
